,element index,maxFx,minFx,minMyy,maxMyy
0,1.0,0.014919681897386896,0.004189041128382074,10.747759984462459,10.752132105382943
1,2.0,35.598583389282226,-69.55410021209717,-7727.6379072268965,840.4853647464331
2,35.0,0.013060068175196483,0.0012097950428722637,-0.0009718604111114502,12.525620834974196
3,36.0,-12.824556499481286,-29.633806964874353,-8973.11879980442,747.644883544684
4,37.0,-0.0031154186464846206,-0.008249387595802554,10.481211290024252,10.487927137711127
5,38.0,0.03408571720682114,0.005513048654422455,-0.003419537578243023,31.043021657447877
6,43.0,0.009350743660703268,-0.010789644470438396,0.0007590273508206451,17.191090621881624
7,44.0,10.504229068756189,-19.153231216430576,-3189.772781249751,-0.06053594994451851
8,45.0,0.01256043176725492,-0.0035258803926409774,8.653078726480254,8.65947132233807
9,46.0,-0.0006971983150578058,-0.005279720498714498,8.684738800212559,8.691749847248051
10,47.0,4.338373500824057,-19.597009189605632,-4538.470174805001,-30.35770001187557
11,48.0,0.014512187674641476,-0.02640611438453211,-0.0011590963732723623,34.32324711372187
12,53.0,2.4357846381813286,-0.021319367393851155,0.0036670611687389114,17.18100909101816
13,54.0,12.493375167847029,-28.42536866760219,-1859.2126074216442,489.75304589866835
14,55.0,7.178193565368932,-21.808739601134974,-1753.0869135744376,927.9569093630219
15,56.0,12.68868182373092,-31.986257263183145,-2056.675814208678,898.4596316830614
16,57.0,2.1606833152775673,-13.026298877715597,-2311.21027392608,892.4240937497016
17,58.0,-0.027696662642061425,-4.62188126847893,-0.0014306807170524963,27.157311411539332
18,69.0,0.044965237971395094,-0.01512808365002291,-0.00313747243236206,6.357434920312605
19,70.0,11.299055927276576,-34.56150011444095,-1711.8858732295867,-264.4696022952922
20,71.0,27.0526909799575,-36.05388641262063,-1789.8657099613229,1136.3014296573758
21,72.0,-0.005928135532886255,-0.0291161198802297,-0.0007751752748732343,16.798878722030295
22,73.0,0.01203557153046151,-0.03863608925044517,-0.006584897418024369,11.473572128374867
23,74.0,0.02525268861278891,-0.005124732647091159,10.713565093678396,10.719432953196607
24,75.0,40.832723973512614,-48.08839205431942,-3136.972521484746,886.8991997066609
25,76.0,0.05440728567540576,-0.05988559104502271,2.213798509299636e-05,16.696125166530322
26,77.0,0.018840604351600176,-0.06153964824811601,-0.0040546650001411135,12.067419240369903
27,78.0,0.05642141297459638,0.023012166202068685,1.9532452072543218,1.9847424941603706
28,79.0,-0.011635580938309936,-0.04991338316723755,2.400137278580168,2.436190815902095
29,80.0,33.61480566024778,-51.61529852676394,-3161.607332031606,1793.687181152694
30,81.0,0.016018763478845368,-0.004119153130799522,-0.0024305819369895686,18.546865754232726
31,82.0,0.030567708309739736,0.00521827697381368,0.001888957472188281,32.91865557985054
32,83.0,-0.004048577426001223,-0.019090378640219365,10.742469902006166,10.749841255227963
33,84.0,43.40776037025443,-53.338547658920376,-3978.5958042605857,1667.5776906124615
34,85.0,-0.006348128851503575,-0.023298776995391096,-0.00317052510526149,22.254344453577747
35,86.0,7.230501197563484,-0.013116946747526451,-0.0003808215374741906,50.418108007775416
36,87.0,22.25208770751939,-46.41869216537489,-2288.754487304383,-355.34088623076934
37,88.0,33.61793483543372,-33.439863138199094,-2460.907106445617,949.2612988284216
38,89.0,0.01396776752546456,-5.418618830334395,-0.0014584004808112924,13.757425253778026
